Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
NO2,Air Quality,sFlt-1,Negative,Pregnancy and Birth Outcomes,Health Outcome,Plasma,37556304,Literature,PubMed,,
NO2,Air Quality,PlGF,Negative,Pregnancy and Birth Outcomes,Health Outcome,Plasma,37556304,Literature,PubMed,,
PM2.5,Air Quality,stimulated production of IL-6,Positive,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
PM2.5,Air Quality,stimulated production of IL-1β,Positive,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
PM2.5,Air Quality,stimulated production of TNF-α,Positive,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
black carbon,Air Quality,stimulated production of IL-6,Positive,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
black carbon,Air Quality,stimulated production of IL-1β,Positive,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
black carbon,Air Quality,stimulated production of TNF-α,Positive,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
PM2.5,Air Quality,circulating IL-6,Null,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
PM2.5,Air Quality,circulating CRP,Null,Inflammatory Diseases;Asthma;Cardiovascular Disease,Health Outcome,Blood,34014775,Literature,PubMed,,
PM2.5,Air Quality,high-sensitivity C-reactive protein,Positive,Cardiovascular Health,Health Outcome,Serum,26600256,Literature,PubMed,,
PM2.5,Air Quality,tissue-type plasminogen activator antigen,Positive,Cardiovascular Health,Health Outcome,Serum,26600256,Literature,PubMed,,
PM2.5,Air Quality,plasminogen activator inhibitor type 1,Positive,Cardiovascular Health,Health Outcome,Serum,26600256,Literature,PubMed,,
PM2.5,Air Quality,fibrinogen,Positive,Cardiovascular Health,Health Outcome,Serum,26600256,Literature,PubMed,,
PM2.5,Air Quality,factor VIIc,Null,Cardiovascular Health,Health Outcome,Serum,26600256,Literature,PubMed,,
O3,Air Quality,factor VIIc,Positive,Cardiovascular Health,Health Outcome,Serum,26600256,Literature,PubMed,,
PM2.5,Air Quality,cg25354716 methylation,Negative,Respiratory Health,Health Outcome,blood;lung tissue,40540633,Literature,PubMed,,
PM2.5,Air Quality,cg01019301 methylation,Positive,Respiratory Health,Health Outcome,blood;lung tissue,40540633,Literature,PubMed,,
PM2.5,Air Quality,C-reactive protein,Null,Cardiovascular Health,Health Outcome,,26725170,Literature,PubMed,,
PM2.5,Air Quality,white blood cells,Null,Cardiovascular Health,Health Outcome,,26725170,Literature,PubMed,,
PM2.5,Air Quality,fibrinogen,Null,Cardiovascular Health,Health Outcome,,26725170,Literature,PubMed,,
PM2.5,Air Quality,homocysteine,Null,Cardiovascular Health,Health Outcome,,26725170,Literature,PubMed,,
PM2.5,Air Quality,CRP among diabetics,Positive,Cardiovascular Health,Health Outcome,,26725170,Literature,PubMed,,
PM2.5,Air Quality,homocysteine among smokers,Positive,Cardiovascular Health,Health Outcome,,26725170,Literature,PubMed,,
PM2.5,Air Quality,urinary 8-Hydroxy-2'-Deoxyguanosine (8-OHdG),Positive,systemic inflammation;endothelial activation;oxidative stress,Health Outcome,Blood;Urine,24314116,Literature,PubMed,,
PM2.5,Air Quality,WBC,Positive,Immunological Health,Health Outcome,Peripheral blood,15723880,Literature,PubMed,,
PM2.5,Air Quality,neutrophil counts,Positive,Immunological Health,Health Outcome,Peripheral blood,15723880,Literature,PubMed,,
PM2.5,Air Quality,fibrinogen,Negative,Immunological Health,Health Outcome,Peripheral blood,15723880,Literature,PubMed,,
PM2.5,Air Quality,C-reactive protein,Positive,Immunological Health,Health Outcome,Peripheral blood,15723880,Literature,PubMed,,
PM2.5,Air Quality,SDNN,Negative,Cardiovascular Health,Health Outcome,,18007994,Literature,PubMed,,
PM2.5,Air Quality,HF,Negative,Cardiovascular Health,Health Outcome,,18007994,Literature,PubMed,,
PM2.5,Air Quality,LF,Negative,Cardiovascular Health,Health Outcome,,18007994,Literature,PubMed,,
reduced NO2,Other,fasting glucose concentration among women living in a healthier environment at baseline,Negative,Metabolic Health;Cancer Risk,Health Outcome,,38070847,Literature,PubMed,,
reduced PM2.5,Other,fasting glucose concentration among women living in a healthier environment at baseline,Negative,Metabolic Health;Cancer Risk,Health Outcome,,38070847,Literature,PubMed,,
PM2.5,Air Quality,diastolic blood pressure in mothers with the APOL1 high-risk genotype,Positive,Cardiovascular Health,Health Outcome,,35358541,Literature,PubMed,,
PM2.5,Air Quality,diastolic blood pressure in mothers with the APOL1 low-risk genotype,Null,Cardiovascular Health,Health Outcome,,35358541,Literature,PubMed,,
PM2.5 (30-day mean),Air Quality,C-reactive protein concentration,Positive,Cardiovascular Health;Inflammation,Health Outcome,,16751260,Literature,PubMed,,
PM2.5 (60-day mean),Air Quality,C-reactive protein concentration,Positive,Cardiovascular Health;Inflammation,Health Outcome,,16751260,Literature,PubMed,,
PM2.5 (7-day mean),Air Quality,odds of C-reactive protein of greater than or equal to 3 mg/liter,Positive,Cardiovascular Health;Inflammation,Health Outcome,,16751260,Literature,PubMed,,
PM2.5 (30-day mean),Air Quality,odds of C-reactive protein of greater than or equal to 3 mg/liter,Positive,Cardiovascular Health;Inflammation,Health Outcome,,16751260,Literature,PubMed,,
PM2.5 (60-day mean),Air Quality,odds of C-reactive protein of greater than or equal to 3 mg/liter,Positive,Cardiovascular Health;Inflammation,Health Outcome,,16751260,Literature,PubMed,,
PM2.5,Air Quality,urinary 8-hydroxy-2'-deoxyguanosine (8-OHdG) concentrations,Positive,Oxidative DNA damage,Health Outcome,Urine,15121508,Literature,PubMed,,
PM2.5 vanadium,Air Quality,urinary 8-hydroxy-2'-deoxyguanosine (8-OHdG) concentrations,Positive,Oxidative DNA damage,Health Outcome,Urine,15121508,Literature,PubMed,,
PM2.5 manganese,Air Quality,urinary 8-hydroxy-2'-deoxyguanosine (8-OHdG) concentrations,Positive,Oxidative DNA damage,Health Outcome,Urine,15121508,Literature,PubMed,,
PM2.5 nickel,Air Quality,urinary 8-hydroxy-2'-deoxyguanosine (8-OHdG) concentrations,Positive,Oxidative DNA damage,Health Outcome,Urine,15121508,Literature,PubMed,,
PM2.5 lead,Air Quality,urinary 8-hydroxy-2'-deoxyguanosine (8-OHdG) concentrations,Positive,Oxidative DNA damage,Health Outcome,Urine,15121508,Literature,PubMed,,
PM2.5,Air Quality,"placental expression of ABHD3, ATP11A, CLTCL1, ST6GALNAC4 and PSCA",Positive,Obstetric Health;Metabolic Health,Health Outcome,Placenta,35248564,Literature,PubMed,,
PM2.5,Air Quality,miR-126-3p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-19b-3p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-93-5p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-223-3p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-142-3p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-23a-3p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-150-5p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-15a-5p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,miR-191-5p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,let-7a-5p,Positive,Cardiovascular Disease,Health Outcome,Serum,26956024,Literature,PubMed,,
PM2.5,Air Quality,IL-2,Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,IL-5/IL-13,Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,IL-12,Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,21,Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,asthma,Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,allergic rhinitis (AR),Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,tissue eosinophil counts,Positive,Respiratory Health,Health Outcome,mucus;tissue,38180309,Literature,PubMed,,
PM2.5,Air Quality,platelet mitochondrial respiratory parameters,Null,Cardiovascular Health,Health Outcome,fresh whole blood samples;Platelets,38111233,Literature,PubMed,,
outdoor temperature,Weather,FEV1,Negative,Respiratory Health,Health Outcome,,30578386,Literature,PubMed,,
PM2.5,Weather,lung function,Negative,Respiratory Health,Health Outcome,,30578386,Literature,PubMed,,
NO2,Air Quality,sleep apnea,Positive,Sleep Disorders,Health Outcome,,30571166,Literature,PubMed,,
PM2.5,Air Quality,sleep apnea,Positive,Sleep Disorders,Health Outcome,,30571166,Literature,PubMed,,
NO2,Air Quality,sleep efficiency,Null,Sleep Disorders,Health Outcome,,30571166,Literature,PubMed,,
PM2.5,Air Quality,sleep efficiency,Null,Sleep Disorders,Health Outcome,,30571166,Literature,PubMed,,
PM2.5,Air Quality,total LDL-P,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,small LDL-P,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,LDL-C,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,TRL-P,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,apoB,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,total cholesterol,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,triglycerides,Positive,Cardiovascular Health,Health Outcome,Serum,30446244,Literature,PubMed,,
PM2.5,Air Quality,systolic blood pressure (with adjustment for age),Positive,Cardiovascular Health,Health Outcome,,30392401,Literature,PubMed,,
PM2.5,Air Quality,systolic blood pressure (with additional adjustment for time),Null,Cardiovascular Health,Health Outcome,,30392401,Literature,PubMed,,
PM2.5,Air Quality,blood pressure (fully adjusted),Null,Cardiovascular Health,Health Outcome,,30392401,Literature,PubMed,,
O3,Air Quality,in-hospital mortality,Positive,Sepsis;Pneumonia,Health Outcome,,30295138,Literature,PubMed,,
PM2.5,Air Quality,in-hospital mortality,Null,Sepsis;Pneumonia,Health Outcome,,30295138,Literature,PubMed,,
O3,Air Quality,in-hospital mortality in patients with pneumonia,Positive,Sepsis;Pneumonia,Health Outcome,,30295138,Literature,PubMed,,
O3,Air Quality,in-hospital mortality in patients without pneumonia,Positive,Sepsis;Pneumonia,Health Outcome,,30295138,Literature,PubMed,,
PM2.5,Air Quality,diabetes,Positive,Endocrine and Metabolic Diseases,Health Outcome,,30074893,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality,Positive,Endocrine and Metabolic Diseases,Health Outcome,,30074893,Literature,PubMed,,
PM2.5,Air Quality,lower limb fracture,Null,Endocrine and Metabolic Diseases,Health Outcome,,30074893,Literature,PubMed,,
benzene,Air Quality,oral clefts,Null,Congenital Anomalies,Health Outcome,,30032102,Literature,PubMed,,
benzene,Air Quality,critical congenital heart defects (CCHDs),Null,Congenital Anomalies,Health Outcome,,30032102,Literature,PubMed,,
benzene,Air Quality,neural tube defects (NTDs),Null,Congenital Anomalies,Health Outcome,,30032102,Literature,PubMed,,
benzene,Air Quality,cleft lip,Positive,Congenital Anomalies,Health Outcome,,30032102,Literature,PubMed,,
average monthly PM2.5,Air Quality,persistent asthma,Null,Respiratory Health,Health Outcome,,29874253,Literature,PubMed,,
PM2.5,Air Quality,child systolic BP (SBP) percentile,Positive,Cardiovascular Health,Health Outcome,,29760154,Literature,PubMed,,
PM2.5,Air Quality,elevated BP,Positive,Cardiovascular Health,Health Outcome,,29760154,Literature,PubMed,,
PM2.5,Air Quality,child systolic BP (SBP) percentile,Positive,Cardiovascular Health,Health Outcome,,29760154,Literature,PubMed,,
PM2.5,Air Quality,elevated BP,Positive,Cardiovascular Health,Health Outcome,,29760154,Literature,PubMed,,
NO2,Air Quality,cardiovascular event,Null,Cardiovascular Health,Health Outcome,,29759065,Literature,PubMed,,
black carbon,Air Quality,cardiovascular event,Null,Cardiovascular Health,Health Outcome,,29759065,Literature,PubMed,,
NO2,Air Quality,cardiovascular event in the elderly (>=65 yrs),Positive,Cardiovascular Health,Health Outcome,,29759065,Literature,PubMed,,
black carbon,Air Quality,cardiovascular event in the elderly (>=65 yrs),Null,Cardiovascular Health,Health Outcome,,29759065,Literature,PubMed,,
PM2.5,Air Quality,Sepsis hospitalization,Null,Infectious Disease,Health Outcome,,29690517,Literature,PubMed,,
PM2.5,Air Quality,Sepsis hospitalization,Null,Infectious Disease,Health Outcome,,29690517,Literature,PubMed,,
PM2.5,Air Quality,"asthma clinical encounters among children at lags 0, 1 and 2",Null,Respiratory Health,Health Outcome,,29466982,Literature,PubMed,,
PM2.5,Air Quality,asthma clinical encounter in low birthweight children (lag 1),Positive,Respiratory Health,Health Outcome,,29466982,Literature,PubMed,,
black carbon,Other,BW/GA z-score,Negative,Perinatal Health,Health Outcome,Plasma,29459230,Literature,PubMed,,
black carbon,Other,birth weight-for-gestational age (BW/GA) z-scores,Negative,Perinatal Health,Health Outcome,Plasma,29458383,Literature,PubMed,,
PM2.5,Air Quality,combined CHD death and nonfatal MI,Null,Cardiovascular Health,Health Outcome,,29447790,Literature,PubMed,,
PM2.5,Air Quality,CHD death,Null,Cardiovascular Health,Health Outcome,,29447790,Literature,PubMed,,
PM2.5,Air Quality,nonfatal MI,Negative,Cardiovascular Health,Health Outcome,,29447790,Literature,PubMed,,
PM2.5,Air Quality,incident chronic bronchitis,Null,Respiratory Health,Health Outcome,,29410384,Literature,PubMed,,
NO2,Air Quality,incident chronic bronchitis,Null,Respiratory Health,Health Outcome,,29410384,Literature,PubMed,,
PM2.5,Air Quality,prevalent chronic bronchitis in never-smokers,Positive,Respiratory Health,Health Outcome,,29410384,Literature,PubMed,,
NO2,Air Quality,prevalent chronic bronchitis in never-smokers,Positive,Respiratory Health,Health Outcome,,29410384,Literature,PubMed,,
NO2,Air Quality,cough in never-smokers,Positive,Respiratory Health,Health Outcome,,29410384,Literature,PubMed,,
NO2,Air Quality,phlegm in never-smokers,Positive,Respiratory Health,Health Outcome,,29410384,Literature,PubMed,,
PM2.5,Air Quality,FEV1,Negative,Cardiopulmonary Health,Health Outcome,,29316641,Literature,PubMed,,
